abstract	แอ็บสแตรกต์	
academy	อะคาเดมี	
accent	แอกเซนต์	ยังไม่มีในระบบ
access	แอกเซส	
accessory	แอกเซสเซอรี	
accident	แอกซิเดนต์	
accord	แอกคอร์ด	ยังไม่มีในระบบ
account	แอกเคานต์	แอ็กเคานต์
ace	เอซ	ยังไม่มีในระบบ
acid	แอซิด	
acknowledge	อักนอลิดจ์	ยังไม่มีในระบบ
acoustics	อะคูสติกส์	
acre	เอเคอร์	
act	แอกต์	ยังไม่มีในระบบ
acting	แอกติง	
action	แอกชัน	
activist	แอกทิวิสต์	ยังไม่มีในระบบ
activity	แอกทิวิตี	
actor	แอกเตอร์	ยังไม่มีในระบบ
actress	แอกเทรส	ยังไม่มีในระบบ
adapt	อะแดปต์	
adapter	อะแดปเตอร์	อะแด็ปเตอร์
add	แอด	ยังไม่มีในระบบ
addict	แอดดิกต์	
address	แอดเดรส	ยังไม่มีในระบบ
ad-lib	แอดลิบ	ยังไม่มีในระบบ
admission	แอดมิสชัน	
admit	แอดมิต	
adopt	อะดอปต์	ยังไม่มีในระบบ
advance	แอดวานซ์	ยังไม่มีในระบบ
advertising	แอดเวอร์ไทซิง	ยังไม่มีในระบบ
advise	แอดไวส์	ยังไม่มีในระบบ
advisor	แอดไวเซอร์	ยังไม่มีในระบบ
advisory	แอดไวเซอรี	
aerobic	แอโรบิก	
against	อะเกนสต์	ยังไม่มีในระบบ
agency	เอเจนซี	
agenda	อะเจนดา	ยังไม่มีในระบบ
agent	เอเจนต์	
aggressive	แอกเกรสซิฟ	ยังไม่มีในระบบ
agree	อะกรี	ยังไม่มีในระบบ
agreement	อะกรีเมนต์	ยังไม่มีในระบบ
AIDS	เอดส์	ยังไม่มีในระบบ
air	แอร์	ยังไม่มีในระบบ
airbag	แอร์แบก	ยังไม่มีในระบบ
airbus	แอร์บัส	
air conditioner	แอร์คอนดิชันเนอร์	ยังไม่มีในระบบ
aircraft	แอร์คราฟต์	
air hostess	แอร์โฮสเตส	ยังไม่มีในระบบ
airline	แอร์ไลน์	
air pollution	แอร์พอลลูชัน	ยังไม่มีในระบบ
airport	แอร์พอร์ต	
alarm	อะลาร์ม	ยังไม่มีในระบบ
album	อัลบัม	
alcohol	แอลกอฮอล์	
alert	อะเลิร์ต	
alien	เอเลียน	
alienate	เอเลียนเนต	ยังไม่มีในระบบ
A-list	เอ-ลิสต์	ยังไม่มีในระบบ
alpha	แอลฟา	
alternative	ออลเทอร์นาทิฟ	
amateur	แอมาชัวร์	ยังไม่มีในระบบ
amazing	อะเมซิง	
ambulance	แอมบิวลันซ์	ยังไม่มีในระบบ
amen	อาเมน	
American share	อเมริกันแชร์	ยังไม่มีในระบบ
ammeter	แอมมิเตอร์	
amoeba	อะมีบา	
ampere	แอมแปร์	
analog	แอนะล็อก	
analysis	อะแนลิซิส	ยังไม่มีในระบบ
anatomy	อะนาโตมี	
angel	เอนเจล	
animation	แอนิเมชัน	
annoy	แอนนอย	ยังไม่มีในระบบ
anonymous	อะนอนิมัส	
anti	แอนตี้	ยังไม่มีในระบบ
antibiotic	แอนติไบโอติก	
antibody	แอนติบอดี	
apartment	อะพาร์ตเมนต์	
apex	เอเพกซ์	
appearance	อัปเพียรันซ์	ยังไม่มีในระบบ
appetite	แอปพิไทต์	ยังไม่มีในระบบ
appetizer	แอปพิไทเซอร์	ยังไม่มีในระบบ
application	แอปพลิเคชัน	
apply	แอปพลาย	
appreciate	อัปพรีชีเอต	
