มารดา	*méh₂tēr	Sanskrit / Pali	mother|maternal|matriarch|matrix	ยืมมาจากบาลี มาตา
บิดา	*ph₂tḗr	Sanskrit / Pali	father|paternal|patron|patriot	ยืมมาจากบาลี ปิตา
ภราดา	*bʰréh₂tēr	Sanskrit	brother|fraternal|fraternity|friar	แผลงมาจากสันสกฤต भ्रातृ (ภฺราตฺฤ), จากบาลี ภาตา
ธิดา	*dʰugh₂tḗr	Pali / Sanskrit	daughter	ยืมมาจากสันสกฤต धीता (ธีตา) หรือบาลี ธีตา
ชนก	*ǵenh₁-	Sanskrit / Pali	generate|genesis|kin|genetics	ยืมมาจากสันสกฤต जनक (ชนก) หรือบาลี ชนก
ทันต	*h₁dónts (หรือ *dent- / *dont-)	Sanskrit / Pali	dental|dentist|tooth|dandelion	ยืมมาจากสันสกฤต दन्त (ทนฺต) หรือบาลี ทนฺต
นาสา	*néh₂s-	Sanskrit	nose|nasal|nostril	ยืมมาจากสันสกฤต नासा (นาสา) หรือบาลี นาสา
เนตร	*neyH- / *neyd-	Sanskrit (จากราก nī = ชี้นำ, นำทาง)	ocular	ยืมมาจากสันสกฤต नेत्र (เนตฺร, “ตา”); เทียบบาลี เนตฺต (“ตา”)
บาท	*pṓds (สัมพันธการก *pedós)	Sanskrit / Pali	foot|pedal|pedestrian|pawn|octopus	ยืมมาจากเขมร បាទ (บาท), จากสันสกฤต पाद (ปาท, “เท้า”), จากบาลี ปาท (“เท้า”)
หัตถ์	*gʰes-	Sanskrit / Pali	surgery	ยืมมาจากบาลี หตฺถ
หทัย	*ḱērd- (สัมพันธการก *kṛd-)	Sanskrit / Pali	heart|cardiac|cordial|courage	ยืมมาจากบาลี หทย; เทียบสันสกฤต हृदय (หฺฤทย)
ศูนย์	*ḱewH-	Sanskrit	zero|cipher|cave|cavity	ยืมมาจากเขมรเก่าสมัยอังกอร์ ឝូន្យ (ศูนฺย), จากสันสกฤต शून्य (ศูนฺย); ร่วมเชื้อสายกับเขมร សូន្យ (สูนฺย), ลาว ສູນ (สูน); ร่วมรากกับ สูญ, สุญ, และ สุญญ
เอก	*óy-kos (จากราก *óy- หนึ่งเดียว)	Sanskrit	one|alone|only	ยืมมาจากสันสกฤต एक (เอก) หรือบาลี เอก
ทวิ	*dwóh₁ (หรือ *dwi-)	Sanskrit	two|dual|doubt|twilight|between	ยืมมาจากสันสกฤต द्वि (ทฺวิ) หรือบาลี ทฺวิ; ร่วมรากกับ ทวี
เบญจ	*pénkʷe	Sanskrit / Pali	five|pentagon|punch	ยืมมาจากบาลี ปญฺจ (“ห้า”)
ทศ	*déḱm̥	Sanskrit	ten|decade|decimal|December	ยืมมาจากสันสกฤต दश (ทศ, “สิบ”); เทียบบาลี ทส (“สิบ”)
วิทยา	*weyd-	Sanskrit (จากราก vid = รู้, เห็น)	video|vision|evident|wise|idea	ยืมมาจากสันสกฤต विद्या (วิทฺยา); ร่วมรากกับ วิชชา และ วิชา
ญาณ	*ǵneh₃-	Sanskrit / Pali	know|knowledge|cognition|diagnosis	ยืมมาจากบาลี ญาณ
ปรัชญา	*pro- (ข้างหน้า) + *ǵneh₃- (รู้)	Sanskrit / Pali	prognosis|precognition	ยืมมาจากสันสกฤต प्रज्ञा (ปฺรชฺญา, “ความรู้”); ร่วมรากกับ ปัญญา เป็นศัพท์บัญญัติสำนักงานราชบัณฑิตยสภาของ philosophy
มโน	*men-	Sanskrit / Pali	mind|mental|monument|mnemonic	แผลงมาจากบาลี มน (“ใจ”), สันสกฤต मनस् (มนสฺ, “ใจ”)
นาม	*h₁nómn̥	Sanskrit / Pali	name|noun|anonymous	ยืมมาจากสันสกฤต नाम (นาม, “ชื่อ”) หรือบาลี นาม (“ชื่อ”) เป็นศัพท์บัญญัติสำนักงานราชบัณฑิตยสภาของ name (คำนาม ความหมาย 1 ↓), noun (คำนาม ความหมาย 2 ↓)
สุริยะ	*sóh₂wl̥ (หรือ *sāwel-)	Sanskrit / Pali	sun|solar|helium	ยืมมาจากบาลี สุริย (“ดวงอาทิตย์, พระอาทิตย์”) เทียบกับสันสกฤต सूर्य (สูรฺย, “ดวงอาทิตย์”)
จันทร์	*(s)kand-	Sanskrit (จากราก ścand- เปล่งประกายสุกสว่าง)	candle|candidate|candid	ยืมมาจากสันสกฤต चन्द्र (จนฺทฺร); เทียบบาลี จนฺท
ดารา	*h₂stḗr	Sanskrit	star|astronomy|disaster	ยืมมาจากสันสกฤต तारा (ตารา) หรือบาลี ตารา (“ดาวฤกษ์, ดาวเคราะห์”); ร่วมเชื้อสายกับลาว ດາຣາ (ดารา), เขมร តារា (ตารา)
วารี	*wódr̥ / *wōr-	Sanskrit	water|hydro-	ยืมมาจากสันสกฤต वारि (วาริ), वारी (วารี) หรือบาลี วาริ; ร่วมเชื้อสายกับลาว ວາລີ (วาลี)
อัคนี	*h₁n̥gʷnís	Sanskrit	ignite|ignition|igneous	ยืมมาจากสันสกฤต अग्नि (อคฺนิ); เทียบบาลี อคฺคิ
วายุ	*h₂wéh₁- (หรือ *we- / *wē-nt-)	Sanskrit	wind|window|ventilate	ยืมมาจากสันสกฤต वायु (วายุ) หรือบาลี วายุ; ร่วมรากกับ พายุ
ชีวะ	*gʷyéh₃- (หรือ *gʷīw-)	Sanskrit	vivid|vital|survive|quick	ยืมมาจากสันสกฤต जीव (ชีว) หรือ บาลี ชีว; ร่วมรากกับ ยิหวา และ ยี่หวา
มรณะ	*mer-	Sanskrit / Pali	mortal|immortal|murder|mortgage	ยืมมาจากสันสกฤต मरण (มรณ) หรือบาลี มรณ
สถาน	*steh₂-	Sanskrit	stand|state|station|statue	ยืมมาจากสันสกฤต स्थान (สฺถาน); เทียบบาลี ฐาน
