00001740-v	หายใจ	หายใจเข้าออก
00001930-n	รูปธรรม	สิ่งที่เป็นรูปธรรม
00002137-n	นามธรรม	สิ่งที่เป็นนามธรรม
00002452-n	ของ	สิ่ง
00002684-n	ของ	วัตถุ
00003093-r	แทบจะไม่	แทบจะไ่ม่
00003316-v	สูดลม	สูดลมหายใจ	สูดหายใจเข้า	สูดอากาศ
00003553-a	ซึ่งปรากฎขึ้น	ซึ่งเพิ่งเกิดขึ้นครั้งแรก
00003700-a	ปริ	แตกออก
00003939-a	ที่กำลังจะตาย	ใกล้จะตาย
00004032-v	ถอนหายใจ	ถอนหายใจยาว	ถอนใจ	ทอดถอนใจ
00004171-a	ที่อยู่ในลมหายใจสุดท้าย	ที่ใกล้จะตาย	ร่อแร่
00004227-v	ผ่อนลมหายใจ	หายใจออก
00004413-a	ฉบับย่อ	ย่อ
00004722-r	เท่านั้น	เพียง	เพียงแค่
00005055-r	อย่างง่ายๆ	แบบง่ายๆ
00005107-a	ฉบับเต็ม	สมบูรณ์
00005779-r	อย่างมหาศาล	อย่างใหญ่โต
00006105-r	ส่วนใหญ่	โดยมาก
00006245-a	ที่สัมพันธ์	เกี่ยวกับความสัมพันธ์	เชิืงสัมพันธ์
00006697-v	หายใจฟืดฟาด	หายใจลำบาก	หายใจหืดหาด
00007012-v	เป่า	เป่าแรงๆ
00007328-v	หาว	อ้าปากหาว
00007347-n	ผู้กระทำเหตุการณ์	ผู้ก่อให้เกิดเหตุการณ์	ผู้เป็นสาเหตุ
00007697-a	ที่ซับน้ำได้ดี	ที่ซึมซับได้ดี
00007813-a	ซึ่งดูดซึมไม่ได้	ไม่ดูดซับน้ำ
00007846-n	คน	บุคคล	ปัจเจกชน	ปัจเจกบุคคล
00008206-a	ซึ่งดูดซับ	ที่ดูดซับ
00008595-a	ที่ไม่ดูดซับ	ที่ไม่ดูดซึม
00008600-r	เท่านั้น	โดยลำพัง
00008799-v	ทำตาหยี	หยีตา	หรี่ตา
00008877-a	ที่ดูดซับได้	ที่ดูดซึมได้
00008997-r	อย่างสมบูรณ์	โดยสิ้นเชิง
00009147-v	ชะล้าง	ผลัดขน	ลอกคราบ
00009373-r	เสียสนิท	ไปเลย
00009492-v	ขอดเกล็ด	ขูดเกล็ด
00009618-a	ที่เข้มงวดกับตนเอง	ที่เข้มงวดกับตัวเอง
00009631-v	กระตุก	ชักกระตุก
00010047-r	อย่างไม่สมบูรณ์	ไม่สมบูรณ์
00010435-v	ทำตัว	ประพฤติตัว	มีความประพฤติ	มีพฤติกรรม
00011327-a	ตะกละเหมือนหมู	เหมือนหมู
00011757-a	ที่เป็นนามธรรม	นามธรรม
00012613-v	เฉยชา	เย็นชา
00012753-v	หมกหมุ่น	หยาบช้า
00012854-v	แสดงความโรแมนติค	โรแมนติค
00013615-v	เล่นละคร	เล่นละครตบตา	แกล้งทำ	แสร้งทำ
00014742-v	นอน	นอนหลับ	บรรทม	หลับ
00015303-v	สัปหงก	เคลิ้ม	เคลิ้มหลับ
00015388-n	สัตว์	สัตว์ป่า	สัตว์เดียรัจฉาน	สิ่งมีชีวิต	เดียรัจฉาน
00015471-r	อย่างน่าพอใจ	โอเค
00015498-v	งีบ	งีบหลับ
00015720-a	มากเกินไป	เยอะเกินไป
00015953-r	หนัก	อย่างรุนแรง	อย่างร้ายแรง
00016380-v	สะลึมสะลือ	เคลิ้ม
00016532-a	อย่างหนัก	ไหลแรง
00016678-r	อย่างซุกซน	อย่างดื้อรั้น
00017031-v	กรน	นอนกรน
00017222-n	พฤกษชาติ	พืช
00017674-v	นอน	นอนหลับ
00017865-v	นอน	เข้านอน
00018158-v	ตื่น	ตื่นนอน	ตื่นบรรทม	ตื่นพระบรรทม	ลุกขึ้น
00018435-a	คัดค้านไม่ได้	ไม่สามารถคัดค้านได้
00018526-v	ตื่น	รู้สึกตัว	ลุกขึ้น
00018813-v	ทำให้ตื่น	ปลุก
00018850-a	ที่ต้องคัดค้าน	ที่เป็นสาเหตุให้คัดค้าน
00019448-v	มีผลต่อ	ส่งผลต่อ
00019874-a	เข้าถึงได้ยาก	ไม่สามารถเข้าถึง
00020259-v	ไม่นอน	ไม่หลับไม่นอน
00020476-r	อย่างสม่ำเสมอ	อย่างไม่เปลี่ยนแปลง
00020827-n	วัตถุ	สสาร
00021065-v	ทำให้สลบ	ทำให้หมดสติ	วางยาสลบ
00021110-a	ที่มีใจเอื้อเฟื้อ	ที่เอาอกเอาใจ
00021265-n	สารอาหาร	อาหาร
00021592-a	ที่ไม่ช่วยเหลือ	ที่ไม่ให้ความร่วมมือ
00021939-n	สิ่งของ	สิ่งที่มนุษย์ประดิษฐ์ขึ้น	สิ่งประดิษฐ์
00022219-a	ที่เหมือนต้นฉบับ	ที่ใกล้เคียงของเิดิม
00022686-v	กระตุ้น	ทำให้สดชื่น
00022852-a	เฉียบขาด	แม่นยำ
00023120-a	เที่ยงตรง	แน่นอน	แม่นยำ
00023646-v	สลบ	เป็นลม
00024264-n	คุณลักษณะ	คุณลักษณ์	ลักษณะ
00024649-v	คืนความสดชื่น	ทำให้สดชื่นอีกครั้ง
00024720-n	ภาวะ	สถานะ	สภาพ	สภาวะ
00024814-v	คืนความสดชื่น	รู้สึกสดชื่น	สดชื่น
00025034-v	ล้างหน้า	ล้างหน้าล้างตา
00025144-r	อย่างรุนแรง	อย่างสุดขีด
00025290-r	ที่ไหนก็ตาม	ทุกแห่ง
00025470-a	กรด	ที่เป็นกรด
00025510-v	บิด	เคล็ดขัดยอก
00025633-a	เกิดเป็นกรด	ให้กรด
00025654-v	ทำให้ผ่อนคลาย	ทำให้รู้สึกผ่อนคลาย
00025728-a	ด่าง	เป็นแอลคาไล
00026153-v	รู้สึกเครียด	เครียด
00026192-n	ความรู้สึก	ฟิลลิ่ง	อารมณ์ความรู้สึก
00027064-v	วอร์ม	วอร์มร่างกาย	วอร์มอัพ	อบอุ่นร่างกาย
00027167-n	ขอบเขต	ตำแหน่ง
00027268-v	ยืด	เหยียด
00027384-r	ยิ่งไปกว่านั้น	อย่างไรก็ตาม
00027705-v	ยืดออก	เหยียด	เหยียดออก
00027807-n	ทรง	รูป	รูปทรง
00028181-a	ที่ต้องเปิดเผย	ที่ต้องแจ้ง
00028270-n	กาล	กาลเวลา	เวลา	ไทม์
00028565-v	ยิ้ม	แย้มพระโอษฐ์
00028876-v	ยิ้มมีลักยิ้ม	อมยิ้ม
00029025-v	ยิ้มยิงฟัน	ยิ้มแฉ่ง
00029214-v	ยิ้มแป้น	ยิ้มแย้ม
00029343-a	ละโมบ	ละโมบโลภมาก	โลภ
00029378-n	เรื่อง	เหตุการณ์
00029677-n	กระบวนการ	กระบวนการทางกายภาพ
00030010-v	หัวเราะหึๆ	หัวเราะเบาๆ
00030142-v	หัวร่อต่อกระซิก	หัวเราะคิกคัก	หัวเราะคิกๆ
00030358-n	การกระทำของคน	การกระทำของมนุษย์
00031068-v	ตะคริวกิน	เป็นตะคริว	เป็นตะคิว
00031264-n	กรุป	กลุ่ม	พวก	หมู่	เหล่า
00031533-a	ไม่ต้องการ	ไม่ละโมบ
00031820-v	ทรงพระสรวล	หัวร่อ	หัวเราะ
00031921-n	ความสัมพันธ์	รีเลชัน
00031974-a	คล่องแคล่ว	มีพลัง	แอคทีฟ
00032180-r	อย่างดีเยี่ยม	อย่างน่าพิศวง
00032299-r	โคตร	โครต
00032778-v	ยิ้มหยัน	ยิ้มเยาะ	หัวเราะเยาะ
00032981-v	ทำหน้าบึ้ง	ทำหน้าบูด
00033077-a	ที่น่าตื่นเต้น	น่าตื่นเต้น
00033203-v	ถลึงตา	ถลึงตาใส่
00033406-v	จ้อง	จ้องมอง
00033421-r	อย่างฉับพลัน	โดยทันที
00033615-n	จำนวน	ปริมาณ
00033663-r	นิดหน่อย	เล็กน้อย	เล็กๆน้อยๆ
00034288-v	ทำหน้า	ทำหน้าทำตา	ปั้นหน้า
00034574-n	ความมีน้ำใจ	ความใจดี
00034758-v	ทำปากแบะ	ทำหน้าเบ้
00034945-r	อย่างร้อนแรง	อย่างแปรปรวน
00035254-a	ซึ่งหยุดงาน	หยุดงาน
00035259-v	อาบน้ำฝักบัว	อาบฝักบัว
00035465-a	คึกคัก	ที่คึกคัก
00035603-v	สรงน้ำ	อาบน้ำ	อาบน้ำอาบท่า
00035718-r	พอควร	พอประมาณ	พอใช้	อย่างปานกลาง	อย่างพอประมาณ	อย่างพอใช้
00035758-v	ชำระล้าง	ล้าง	ล้างทำความสะอาด
00035779-a	ที่ไปได้ดี	ที่ไปได้สวย
00036068-r	อย่างเกินควร	อย่างเกินพอดี
00036580-n	ของกล้วยๆ	เรื่องง่ายๆ
00036685-v	ขัดด้วยฟองน้ำ	ถูด้วยฟองน้ำ
00036762-r	อย่างสำคัญ	อันเป็นเนื้อแท้
00036932-v	ถูสบู่	ฟอกสบู่
00036935-r	อย่างชัดเจน	อย่างหนักแน่น	อย่างไม่ต้องสงสัย
00037138-v	กลั้ว	กลั้วคอ
00037396-n	การกระทำ	แอคชั่น
00037680-v	โกน	โกนด้วยมีดโกน	โกนด้วยมีดโกนหนวด	โกนด้วยใบมีด
00037779-v	ปลงผม	โกนผม	โกนศีรษะ	โกนหัว
00038625-r	อย่างแน่นอน	แน่นอน
00038687-v	ทำให้เรียบเป็นมัน	หวีผมเรียบ
00038750-a	ที่ทำให้เกิดผล	ที่มีผล
00038849-v	ทำผม	เซตผม	แต่งผม
00039121-v	ตัดผมทรงบ็อบ	ตัดผมบ็อบ
00039259-a	ที่ได้ลงมือจริง	ที่ได้ใช้จริง
00039318-r	อย่างกระจ่าง	อย่างเด่นชัด	อย่างเด่ันชัด	อย่างโจ่งแจ้ง
00039488-v	ทำผมลอน	ทำให้เป็นลอน	ม้วนผม
00039592-a	เฉยๆ	เฉื่อยชา
00039740-n	การจ้องตากัน	การมองตากัน	การสบตา
00039824-v	ดัดผมถาวร	ทำให้เป็นลอนถาวร
00040058-a	ไม่สามารถขัดขืนได้	ไม่สามารถต้านทานได้
00040152-n	การเป็นผู้ให้และผู้รับ	การแลกเปลี่ยนกัน
00040534-a	ซึ่งพุ่งออกมา	ซึ่งระเบิดออก
00040547-r	โดยอุบัติเหตุ	โดยไม่คาดหมาย
00040685-a	ที่กำลังหลับ	ที่หลับไหล	ภูเขาไฟหมดสภาพ
00040909-a	ซึ่งสงบ	สงบ
00040928-v	เมกอัพ	แต่งหน้า	แต่งหน้าทาปาก
00041188-n	การเล่น	การเล่นกีฬา	การเล่นเกมกีฬา
00041361-a	ยังคุกรุ่นอยู่	ยังคุอยู่
00041417-v	ทาลิป	ทาลิปสติค
00041468-n	การรำกระบี่	การรำดาบ	การร่ายรำดาบ
00041488-a	คุกรุ่น	มีพลัง
00041687-v	ใช้ครีมนวด	ใช้ครีมนวดผม
00041740-n	การเล่นโบว์ลิ่ง	การโยนโบว์ลิ่ง
00041899-n	การได้	การได้รับ
00042017-v	สระ	สระกับแชมพู	สระผม	ใช้แชมพูสระผม
00042173-v	ตบแป้ง	ทาแป้ง
00042254-r	อย่างเคราะห์ดี	อย่างโชคดี
00042311-n	การทำให้เกิด	เหตุกรรม
00042364-v	ทาแป้ง	ใช้แป้งทาตัว
00042541-n	การคลอดบุตร	การคลอดลูก	การเกิดลูก
00042757-n	การจากไป	การออกเดินทาง	การไป
00042769-r	อย่างโชคร้าย	โดยสมควรถูกตำหนิ
00042837-a	ที่ทำให้บรรเทา	ที่ทำให้ลดลง
00043125-a	ซึ่งไม่เกิดผล	ซึ่งไม่เปลี่ยนแปลง
00043480-v	ฉีดน้ำหอม	ใส่น้ำหอม
00044037-v	แต่งตัวซอมซ่อ	แต่งตัวยั่วยวน
00044149-v	แต่งกาย	แต่งตัว	แต่งเนื้อแต่งตัว
00044353-a	ที่มีทางเป็นไปได้	ที่เป็นไปได้
00045346-v	สวมชุดลำลอง	แต่งตัวสบายๆ	ใส่ชุดลำลอง
00045532-v	แต่งตัวพิถีพิถัน	แต่งตัวเนี้ยบ
00045817-v	รีดไขมัน	ลดน้ำหนัก
00045888-a	ที่เป็นอันตรายถึงตาย	ที่เป็นอันตรายถึงแก่ชีวิต
00046014-a	ที่ไม่ก่อให้เกิดโรค	ที่ไม่ติดเชื้อ
00046299-r	สุดยอด	อย่างยิ่ง
00046339-a	ที่ทำให้กลมกลืน	ที่ทำให้สอดคล้อง
00046382-v	อ้วนกลม	อ้วนขึ้น
00046534-v	สวมเสื้อผ้า	แต่งตัว	ใส่เสื้อผ้า
00046792-a	ซึ่งไม่สมบูรณ์	ที่ทำหน้าที่ผิดปกติ
00046863-r	อย่างเกินควร	อย่างไม่ธรรมดา
00047243-a	ซึ่งติดสุรา	ติดเหล้า
00047317-v	ลองชุด	ลองเสื้อ
00047392-r	อย่างมากเกินไป	เกิน	เกินไป
00047786-a	ติดนิสัย	ที่ติดเป็นนิสัย
00047945-v	สวมเสื้อผ้า	แต่งกาย	แต่งตัว	ใส่เสื้อผ้า
00048268-r	ขณะนี้	ปัจจุบัน
00048739-r	ทันที	ทันทีทันใด	ในทันที
00048790-v	สวมแจ็คเก็ต	ใส่แจ็คเก็ต
00048858-a	พิเศษ	เพิ่มเติม	เสริม
