AA (Alcoholics Anonymous)	เอเอ	จิตวิทยา	
ability	ความสามารถ	จิตวิทยา	
abnormal	อปรกติ	จิตวิทยา	
Abnormal Psychology	จิตวิทยาอปรกติ	จิตวิทยา	
abreaction	อารมณ์ที่แสดงออกจากการเก็บกด	จิตวิทยา	
absenteeism	บันทึกการขาดงาน	จิตวิทยา	
absolute threshold	ระดับสัมบูรณ์ที่สามารถรับรู้	จิตวิทยา	
Abstraction Theory	ทฤษฎีนามธรรม	จิตวิทยา	
abuse	การทำร้าย	จิตวิทยา	
abuse	การกระทำมิชอบ	จิตวิทยา	
abusing parent	พ่อแม่ที่ทำทารุณกรรมลูก	จิตวิทยา	
accident-prone personality	บุคลิกภาพที่ง่ายต่อการเกิดอุบัติเหตุ	จิตวิทยา	
accommodation	การปรับโครงสร้างการรู้คิด	จิตวิทยา	
accomplishment quotient (AQ)	ระดับความสำเร็จ	จิตวิทยา	
achieved role	การบรรลุบทบาท	จิตวิทยา	
achievement oriented leadership	ภาวะผู้นำมุ่งสัมฤทธิผล	จิตวิทยา	
Achievement Quotient (AQ)	ระดับผลสัมฤทธิ์	จิตวิทยา	
achievement testing	การทดสอบผลสัมฤทธิ์	จิตวิทยา	
acquired characteristics	ลักษณะนิสัยที่ได้รับมา	จิตวิทยา	
acquired drive	แรงขับที่ได้มา	จิตวิทยา	
acquisition	สิ่งที่ติดตัวมา	จิตวิทยา	
acting out	การปลดปล่อย	จิตวิทยา	
activation	การกระตุ้น	จิตวิทยา	
active listening	การฟังอย่างตั้งใจ	จิตวิทยา	
actor-observer effect	ผลของผู้กระทำและผู้สังเกต	จิตวิทยา	
acuity	ความเฉียบคม	จิตวิทยา	
AD (Alzheimer’s Disease)	เอดี	จิตวิทยา	
adaptation	การปรับตัว	จิตวิทยา	
adaption	การปรับตัว	จิตวิทยา	
adaptational mechanism	กลไกการปรับตัว	จิตวิทยา	
adaption	การปรับตัว	จิตวิทยา	
adaptation	การปรับตัว	จิตวิทยา	
adaptive behavior	พฤติกรรมปรับตัว	จิตวิทยา	
adherence	การยึดติด	จิตวิทยา	
adjustment	การปรับแก้	จิตวิทยา	
adjustment	การปรับตัว	จิตวิทยา	
adjustment disorder	โรคการปรับตัวผิดปรกติ	จิตวิทยา	
Adlerian Psychology	จิตวิทยาสกุลแอดเลอร์	จิตวิทยา	
adolescence	ช่วงวัยรุ่น	จิตวิทยา	
adolescent	วัยรุ่น	จิตวิทยา	
adult	ผู้ใหญ่	จิตวิทยา	
Adult Career Concerns Inventory	แบบสำรวจความสนใจในอาชีพสำหรับผู้ใหญ่	จิตวิทยา	
adultery	การทำชู้	จิตวิทยา	
Adult Vocational Maturity Inventory	แบบสำรวจวุฒิภาวะทางอาชีพสำหรับผู้ใหญ่	จิตวิทยา	
Adversity Quotient (AQ)	อัตราส่วนความทุกข์ยาก	จิตวิทยา	
