หายใจ	หายใจเข้าออก
รูปธรรม	สิ่งที่เป็นรูปธรรม
นามธรรม	สิ่งที่เป็นนามธรรม
ของ	สิ่ง
ของ	วัตถุ
แทบจะไม่	แทบจะไ่ม่
สูดลม	สูดลมหายใจ	สูดหายใจเข้า	สูดอากาศ
ซึ่งปรากฎขึ้น	ซึ่งเพิ่งเกิดขึ้นครั้งแรก
ปริ	แตกออก
ที่กำลังจะตาย	ใกล้จะตาย
ถอนหายใจ	ถอนหายใจยาว	ถอนใจ	ทอดถอนใจ
ที่อยู่ในลมหายใจสุดท้าย	ที่ใกล้จะตาย	ร่อแร่
ผ่อนลมหายใจ	หายใจออก
ฉบับย่อ	ย่อ
เท่านั้น	เพียง	เพียงแค่
อย่างง่ายๆ	แบบง่ายๆ
ฉบับเต็ม	สมบูรณ์
อย่างมหาศาล	อย่างใหญ่โต
ส่วนใหญ่	โดยมาก
ที่สัมพันธ์	เกี่ยวกับความสัมพันธ์	เชิืงสัมพันธ์
หายใจฟืดฟาด	หายใจลำบาก	หายใจหืดหาด
เป่า	เป่าแรงๆ
หาว	อ้าปากหาว
ผู้กระทำเหตุการณ์	ผู้ก่อให้เกิดเหตุการณ์	ผู้เป็นสาเหตุ
ที่ซับน้ำได้ดี	ที่ซึมซับได้ดี
ซึ่งดูดซึมไม่ได้	ไม่ดูดซับน้ำ
คน	บุคคล	ปัจเจกชน	ปัจเจกบุคคล
ซึ่งดูดซับ	ที่ดูดซับ
ที่ไม่ดูดซับ	ที่ไม่ดูดซึม
เท่านั้น	โดยลำพัง
ทำตาหยี	หยีตา	หรี่ตา
ที่ดูดซับได้	ที่ดูดซึมได้
อย่างสมบูรณ์	โดยสิ้นเชิง
ชะล้าง	ผลัดขน	ลอกคราบ
เสียสนิท	ไปเลย
ขอดเกล็ด	ขูดเกล็ด
ที่เข้มงวดกับตนเอง	ที่เข้มงวดกับตัวเอง
กระตุก	ชักกระตุก
อย่างไม่สมบูรณ์	ไม่สมบูรณ์
ทำตัว	ประพฤติตัว	มีความประพฤติ	มีพฤติกรรม
ตะกละเหมือนหมู	เหมือนหมู
ที่เป็นนามธรรม	นามธรรม
เฉยชา	เย็นชา
หมกหมุ่น	หยาบช้า
แสดงความโรแมนติค	โรแมนติค
เล่นละคร	เล่นละครตบตา	แกล้งทำ	แสร้งทำ
นอน	นอนหลับ	บรรทม	หลับ
สัปหงก	เคลิ้ม	เคลิ้มหลับ
สัตว์	สัตว์ป่า	สัตว์เดียรัจฉาน	สิ่งมีชีวิต	เดียรัจฉาน
อย่างน่าพอใจ	โอเค
งีบ	งีบหลับ
มากเกินไป	เยอะเกินไป
หนัก	อย่างรุนแรง	อย่างร้ายแรง
สะลึมสะลือ	เคลิ้ม
อย่างหนัก	ไหลแรง
อย่างซุกซน	อย่างดื้อรั้น
กรน	นอนกรน
พฤกษชาติ	พืช
นอน	นอนหลับ
นอน	เข้านอน
ตื่น	ตื่นนอน	ตื่นบรรทม	ตื่นพระบรรทม	ลุกขึ้น
คัดค้านไม่ได้	ไม่สามารถคัดค้านได้
ตื่น	รู้สึกตัว	ลุกขึ้น
ทำให้ตื่น	ปลุก
ที่ต้องคัดค้าน	ที่เป็นสาเหตุให้คัดค้าน
มีผลต่อ	ส่งผลต่อ
เข้าถึงได้ยาก	ไม่สามารถเข้าถึง
ไม่นอน	ไม่หลับไม่นอน
อย่างสม่ำเสมอ	อย่างไม่เปลี่ยนแปลง
วัตถุ	สสาร
ทำให้สลบ	ทำให้หมดสติ	วางยาสลบ
ที่มีใจเอื้อเฟื้อ	ที่เอาอกเอาใจ
สารอาหาร	อาหาร
ที่ไม่ช่วยเหลือ	ที่ไม่ให้ความร่วมมือ
สิ่งของ	สิ่งที่มนุษย์ประดิษฐ์ขึ้น	สิ่งประดิษฐ์
ที่เหมือนต้นฉบับ	ที่ใกล้เคียงของเิดิม
กระตุ้น	ทำให้สดชื่น
เฉียบขาด	แม่นยำ
เที่ยงตรง	แน่นอน	แม่นยำ
สลบ	เป็นลม
คุณลักษณะ	คุณลักษณ์	ลักษณะ
คืนความสดชื่น	ทำให้สดชื่นอีกครั้ง
ภาวะ	สถานะ	สภาพ	สภาวะ
คืนความสดชื่น	รู้สึกสดชื่น	สดชื่น
ล้างหน้า	ล้างหน้าล้างตา
อย่างรุนแรง	อย่างสุดขีด
ที่ไหนก็ตาม	ทุกแห่ง
กรด	ที่เป็นกรด
บิด	เคล็ดขัดยอก
เกิดเป็นกรด	ให้กรด
ทำให้ผ่อนคลาย	ทำให้รู้สึกผ่อนคลาย
ด่าง	เป็นแอลคาไล
รู้สึกเครียด	เครียด
ความรู้สึก	ฟิลลิ่ง	อารมณ์ความรู้สึก
วอร์ม	วอร์มร่างกาย	วอร์มอัพ	อบอุ่นร่างกาย
ขอบเขต	ตำแหน่ง
ยืด	เหยียด
ยิ่งไปกว่านั้น	อย่างไรก็ตาม
ยืดออก	เหยียด	เหยียดออก
ทรง	รูป	รูปทรง
ที่ต้องเปิดเผย	ที่ต้องแจ้ง
กาล	กาลเวลา	เวลา	ไทม์
ยิ้ม	แย้มพระโอษฐ์
ยิ้มมีลักยิ้ม	อมยิ้ม
ยิ้มยิงฟัน	ยิ้มแฉ่ง
ยิ้มแป้น	ยิ้มแย้ม
ละโมบ	ละโมบโลภมาก	โลภ
เรื่อง	เหตุการณ์
กระบวนการ	กระบวนการทางกายภาพ
หัวเราะหึๆ	หัวเราะเบาๆ
หัวร่อต่อกระซิก	หัวเราะคิกคัก	หัวเราะคิกๆ
การกระทำของคน	การกระทำของมนุษย์
ตะคริวกิน	เป็นตะคริว	เป็นตะคิว
กรุป	กลุ่ม	พวก	หมู่	เหล่า
ไม่ต้องการ	ไม่ละโมบ
ทรงพระสรวล	หัวร่อ	หัวเราะ
ความสัมพันธ์	รีเลชัน
คล่องแคล่ว	มีพลัง	แอคทีฟ
อย่างดีเยี่ยม	อย่างน่าพิศวง
โคตร	โครต
ยิ้มหยัน	ยิ้มเยาะ	หัวเราะเยาะ
ทำหน้าบึ้ง	ทำหน้าบูด
ที่น่าตื่นเต้น	น่าตื่นเต้น
ถลึงตา	ถลึงตาใส่
จ้อง	จ้องมอง
อย่างฉับพลัน	โดยทันที
จำนวน	ปริมาณ
นิดหน่อย	เล็กน้อย	เล็กๆน้อยๆ
ทำหน้า	ทำหน้าทำตา	ปั้นหน้า
ความมีน้ำใจ	ความใจดี
ทำปากแบะ	ทำหน้าเบ้
อย่างร้อนแรง	อย่างแปรปรวน
ซึ่งหยุดงาน	หยุดงาน
อาบน้ำฝักบัว	อาบฝักบัว
คึกคัก	ที่คึกคัก
สรงน้ำ	อาบน้ำ	อาบน้ำอาบท่า
พอควร	พอประมาณ	พอใช้	อย่างปานกลาง	อย่างพอประมาณ	อย่างพอใช้
ชำระล้าง	ล้าง	ล้างทำความสะอาด
ที่ไปได้ดี	ที่ไปได้สวย
อย่างเกินควร	อย่างเกินพอดี
ของกล้วยๆ	เรื่องง่ายๆ
ขัดด้วยฟองน้ำ	ถูด้วยฟองน้ำ
อย่างสำคัญ	อันเป็นเนื้อแท้
ถูสบู่	ฟอกสบู่
อย่างชัดเจน	อย่างหนักแน่น	อย่างไม่ต้องสงสัย
กลั้ว	กลั้วคอ
การกระทำ	แอคชั่น
โกน	โกนด้วยมีดโกน	โกนด้วยมีดโกนหนวด	โกนด้วยใบมีด
ปลงผม	โกนผม	โกนศีรษะ	โกนหัว
อย่างแน่นอน	แน่นอน
ทำให้เรียบเป็นมัน	หวีผมเรียบ
ที่ทำให้เกิดผล	ที่มีผล
ทำผม	เซตผม	แต่งผม
ตัดผมทรงบ็อบ	ตัดผมบ็อบ
ที่ได้ลงมือจริง	ที่ได้ใช้จริง
อย่างกระจ่าง	อย่างเด่นชัด	อย่างเด่ันชัด	อย่างโจ่งแจ้ง
ทำผมลอน	ทำให้เป็นลอน	ม้วนผม
เฉยๆ	เฉื่อยชา
การจ้องตากัน	การมองตากัน	การสบตา
ดัดผมถาวร	ทำให้เป็นลอนถาวร
ไม่สามารถขัดขืนได้	ไม่สามารถต้านทานได้
การเป็นผู้ให้และผู้รับ	การแลกเปลี่ยนกัน
ซึ่งพุ่งออกมา	ซึ่งระเบิดออก
โดยอุบัติเหตุ	โดยไม่คาดหมาย
ที่กำลังหลับ	ที่หลับไหล	ภูเขาไฟหมดสภาพ
ซึ่งสงบ	สงบ
เมกอัพ	แต่งหน้า	แต่งหน้าทาปาก
การเล่น	การเล่นกีฬา	การเล่นเกมกีฬา
ยังคุกรุ่นอยู่	ยังคุอยู่
ทาลิป	ทาลิปสติค
การรำกระบี่	การรำดาบ	การร่ายรำดาบ
คุกรุ่น	มีพลัง
ใช้ครีมนวด	ใช้ครีมนวดผม
การเล่นโบว์ลิ่ง	การโยนโบว์ลิ่ง
การได้	การได้รับ
สระ	สระกับแชมพู	สระผม	ใช้แชมพูสระผม
ตบแป้ง	ทาแป้ง
อย่างเคราะห์ดี	อย่างโชคดี
การทำให้เกิด	เหตุกรรม
ทาแป้ง	ใช้แป้งทาตัว
การคลอดบุตร	การคลอดลูก	การเกิดลูก
การจากไป	การออกเดินทาง	การไป
อย่างโชคร้าย	โดยสมควรถูกตำหนิ
ที่ทำให้บรรเทา	ที่ทำให้ลดลง
ซึ่งไม่เกิดผล	ซึ่งไม่เปลี่ยนแปลง
ฉีดน้ำหอม	ใส่น้ำหอม
แต่งตัวซอมซ่อ	แต่งตัวยั่วยวน
แต่งกาย	แต่งตัว	แต่งเนื้อแต่งตัว
ที่มีทางเป็นไปได้	ที่เป็นไปได้
สวมชุดลำลอง	แต่งตัวสบายๆ	ใส่ชุดลำลอง
แต่งตัวพิถีพิถัน	แต่งตัวเนี้ยบ
รีดไขมัน	ลดน้ำหนัก
ที่เป็นอันตรายถึงตาย	ที่เป็นอันตรายถึงแก่ชีวิต
ที่ไม่ก่อให้เกิดโรค	ที่ไม่ติดเชื้อ
สุดยอด	อย่างยิ่ง
ที่ทำให้กลมกลืน	ที่ทำให้สอดคล้อง
อ้วนกลม	อ้วนขึ้น
สวมเสื้อผ้า	แต่งตัว	ใส่เสื้อผ้า
ซึ่งไม่สมบูรณ์	ที่ทำหน้าที่ผิดปกติ
อย่างเกินควร	อย่างไม่ธรรมดา
ซึ่งติดสุรา	ติดเหล้า
ลองชุด	ลองเสื้อ
อย่างมากเกินไป	เกิน	เกินไป
ติดนิสัย	ที่ติดเป็นนิสัย
สวมเสื้อผ้า	แต่งกาย	แต่งตัว	ใส่เสื้อผ้า
ขณะนี้	ปัจจุบัน
ทันที	ทันทีทันใด	ในทันที
สวมแจ็คเก็ต	ใส่แจ็คเก็ต
พิเศษ	เพิ่มเติม	เสริม
สวมชุดกระโปรง	ใส่ชุดกระโปรง
สวมเสื้อเชิ้ต	ใส่เสื้อเชิ้ต
สวมเสื้อหลายชั้น	ใส่เสื้อหลายชั้น
สวมรองเท้า	ใส่รองเท้า
อย่างก้าวร้าว	อย่างเป็นปฏิปักษ์
การลงทะเบียน	การสมัครเรียน
ที่เป็นการลบ	ที่เป็นการหักออก
ร่าเริง	อย่างมีความสุข	อย่างร่าเริง	อย่างสนุกสนานรื่นเริง	โดยไม่อนาทรร้อนใจ
ที่น้อยลง	ที่ลดลง
ซึ่งเขียนที่อยู่ผู้รับ	ที่ระบุผู้รับ
สวม	สวมใส่	ใส่
อย่างมั่นคง	อย่างแน่วแน่
พันด้วยผ้าพันคอ	พันผ้าพันคอ
รีบสวม	รีบใส่
ถอดอย่างเร็ว	ถอดออก
ซึ่งมีความสามารถ	ที่สามารถทำได้
เพียงพอ	เพียงพอต่อจุดประสงค์
แต่งตัวลักเพศ	แต่งตัวเป็นเพศตรงข้าม
สวมชุด	ใส่ชุด
อย่างแน่แท้	โดยตรง
ขาด	ขาดแคลน	ไม่พอเพียง
ที่ไม่มีความสามารถ	ที่ไม่สามารถพอ
ครองผ้า	สวมจีวร	ห่มจีวร
สวม	ใส่
ซึ่งขาดคนทำงาน	ทีขาดคนงาน	ทีขาดแรงงาน
การลงจอด	การแลนดิ้ง
ซึ่งติดแน่น	เหนียว
ตกลง	โอเค
ทำให้ตั้งครรภ์	ทำให้ตั้งท้อง	ทำให้ท้อง
การกล่าวคำอำลา	การกล่าวลา	การกล่าวอำลา	การอำลา
การสาบสูญ	การหายตัวไป
ผสมข้ามพันธุ์	ผสมข้ามสายพันธุ์
การถ่ายเกสร	การผสมเกสร
ที่ทาด้วยน้ำมันดิน	เหมือนน้ำมันดิน
อย่างน่ากลัว	อย่างมหันต์
น้ำแตก	หลั่ง	หลั่งน้ำกาม	หลั่งน้ำอสุจิ	หลั่งอสุจิ
อย่างเลวร้าย	อย่างแย่มาก	แย่มาก
พอใช้ได้	อย่างยอมรับได้
ขยายพันธุ์	ทำให้ขยายพันธุ์	ทำให้แพร่พันธุ์	แพร่พันธุ์
ออกผล	ออกลูก	ให้ผล
คลอด	คลอดลูก	มีพระประสูติการ	เกิด	เกิดลูก	ให้กำเนิด
คลอด	คลอดบุตร	คลอดลูก
คลอดลูกแฝด	เกิดลูกแฝด	ให้กำเนิดลูกแฝด
ออกลูก	ให้ลูก
ออกลูก	ออกลูกแมว
การขึ้นเครื่อง	การขึ้นเครื่องบิน
ตกลูก	ออกลูก	ออกลูกหมู
ตั้งครรภ์	ท้อง	ป่อง	มีครรภ์	มีท้อง	อุ้มท้อง
มาก	มากมาย
ที่แกะฝังในเนื้อ	ที่แกะสลัก
ทำแท้ง	รีดลูก	รีดเด็ก	เอาเด็กออก	แท้ง
การหนีออกจาก	การแหกคุก
กก	กกไข่	ฟัก	ฟักไข่
การอพยพหมู่	ฮิจเราะห์
ตอนหลัง	ในภายหลัง
ทันทีทันใด	ในทันที
ผ่าตัดด้วยเครื่องเจาะกะโหลก	ผ่าตัดเจาะกะโหลก
มีประจำเดือน	มีรอบเดือน	มีระดู	มีเมนส์
ด้วยความจงใจ	อย่างจงใจ	โดยตั้งใจ	โดยเจตนา	โดยได้พิจารณาถี่ถ้วนแล้ว
โดยไม่ได้ตั้งใจ	โดยไ่ม่ได้ตั้งใจ
ฉะนั้น	ตามที่
การบันทึกสถิติ	บันทึกสถิติ	สถิติ	เรคอร์ด
อย่างมีทางเลือก	อีกทางหนึ่ง
สถิตินักวิ่ง	สถิติวิ่ง
บันทึกที่สุดในโลก	สถิติกินเนสบุ๊ค
การประสบชัยชนะ	การได้รับชัยชนะ
จับเส้น	นวด	บีบ	บีบนวด
ทำให้บาดเจ็บ	ทำให้ปวด	ทำให้เจ็บ
ดี	ที่ดี
ทำให้ป่วย	ทำให้ไม่สบาย
ขณะที่	ขณะนั้น
ทนทุกข์	ปวด	เจ็บ
การพิชิต	การเป็นผู้พิชิต
หน่วยกิต	หน่วยกิตรายวิชา
ครางเบาๆ	คร่ำครวญ
จิตใจเลื่อนลอย	อย่างเลื่อนลอย	อย่างใจลอย
ทรงกันแสง	ทรงพระกันแสง	น้ำหูน้ำตาไหล	ร้องห่มร้องไห้	ร้องไห้	หลั่งน้ำตา
อย่างซาบซึ้งใจ	อย่างตื้นตันใจ	อย่างสะเทือนใจ
